consulta,categoria,respuesta,respuestas_compuestas,consulta_
¿Cuántas veces puedo suspender mis estudios?,matriculas,"Puedes solicitar hasta dos suspensiones académicas durante tu carrera, cada una con duración máxima de un semestre.","¿Cuántas veces puedo suspender mis estudios? Puedes solicitar hasta dos suspensiones académicas durante tu carrera, cada una con duración máxima de un semestre.",¿Cuántas veces puedo suspender mis estudios? matriculas
¿Qué sucede si selecciono más materias de las permitidas?,matriculas,El sistema te impedirá completar la inscripción y mostrará un mensaje de error. Consulta tu coordinador si necesitas sobrecarga académica.,¿Qué sucede si selecciono más materias de las permitidas? El sistema te impedirá completar la inscripción y mostrará un mensaje de error. Consulta tu coordinador si necesitas sobrecarga académica.,¿Qué sucede si selecciono más materias de las permitidas? matriculas
¿Qué debo hacer si encuentro una falla en un laboratorio?,instalaciones,Debes reportarla inmediatamente al encargado del laboratorio o al correo de soporte técnico institucional.,¿Qué debo hacer si encuentro una falla en un laboratorio? Debes reportarla inmediatamente al encargado del laboratorio o al correo de soporte técnico institucional.,¿Qué debo hacer si encuentro una falla en un laboratorio? instalaciones
¿Puedo reservar un salón para reunión de grupo?,instalaciones,"Sí, algunos salones están disponibles para reserva estudiantil fuera del horario de clases. Solicítalo en coordinación académica.","¿Puedo reservar un salón para reunión de grupo? Sí, algunos salones están disponibles para reserva estudiantil fuera del horario de clases. Solicítalo en coordinación académica.",¿Puedo reservar un salón para reunión de grupo? instalaciones
¿Dónde encuentro baños adaptados para personas con discapacidad?,instalaciones,Están ubicados en todos los edificios principales y están debidamente señalizados para fácil identificación.,¿Dónde encuentro baños adaptados para personas con discapacidad? Están ubicados en todos los edificios principales y están debidamente señalizados para fácil identificación.,¿Dónde encuentro baños adaptados para personas con discapacidad? instalaciones
¿Los salones están ventilados adecuadamente?,instalaciones,"Sí, todos los salones cuentan con ventilación natural o mecánica. Se supervisa el cumplimiento de normas de seguridad sanitaria.","¿Los salones están ventilados adecuadamente? Sí, todos los salones cuentan con ventilación natural o mecánica. Se supervisa el cumplimiento de normas de seguridad sanitaria.",¿Los salones están ventilados adecuadamente? instalaciones
¿Puedo tomar materias de diferentes turnos?,horarios,"Sí, siempre que no haya conflictos de horario entre ellas y estén disponibles en la oferta académica.","¿Puedo tomar materias de diferentes turnos? Sí, siempre que no haya conflictos de horario entre ellas y estén disponibles en la oferta académica.",¿Puedo tomar materias de diferentes turnos? horarios
¿Cuándo se habilita la plataforma para ver horarios?,horarios,"Una semana antes del inicio de inscripciones, el portal publica los horarios en la sección 'Oferta académica'.","¿Cuándo se habilita la plataforma para ver horarios? Una semana antes del inicio de inscripciones, el portal publica los horarios en la sección 'Oferta académica'.",¿Cuándo se habilita la plataforma para ver horarios? horarios
¿Qué hago si mi clase fue cancelada por el profesor?,horarios,Consulta en coordinación académica si se reasignará o si puedes cambiarte de grupo o materia.,¿Qué hago si mi clase fue cancelada por el profesor? Consulta en coordinación académica si se reasignará o si puedes cambiarte de grupo o materia.,¿Qué hago si mi clase fue cancelada por el profesor? horarios
¿Qué horario tienen las clases virtuales?,horarios,Las clases virtuales mantienen el mismo horario que las presenciales. Debes conectarte en el horario asignado en la plataforma.,¿Qué horario tienen las clases virtuales? Las clases virtuales mantienen el mismo horario que las presenciales. Debes conectarte en el horario asignado en la plataforma.,¿Qué horario tienen las clases virtuales? horarios
¿El cambio de horario afecta mi beca?,horarios,No afecta siempre que mantengas tu carga académica completa y cumplas con el promedio requerido.,¿El cambio de horario afecta mi beca? No afecta siempre que mantengas tu carga académica completa y cumplas con el promedio requerido.,¿El cambio de horario afecta mi beca? horarios
¿Hay horarios especiales para estudiantes trabajadores?,horarios,"Sí, existen grupos nocturnos o fines de semana. Consulta con tu coordinador para validar tu elegibilidad.","¿Hay horarios especiales para estudiantes trabajadores? Sí, existen grupos nocturnos o fines de semana. Consulta con tu coordinador para validar tu elegibilidad.",¿Hay horarios especiales para estudiantes trabajadores? horarios
¿Cómo obtengo mi carta de buena conducta?,tramites,Solicítala en servicios escolares con tu identificación. El trámite tarda entre 2 y 3 días hábiles.,¿Cómo obtengo mi carta de buena conducta? Solicítala en servicios escolares con tu identificación. El trámite tarda entre 2 y 3 días hábiles.,¿Cómo obtengo mi carta de buena conducta? tramites
¿Dónde entrego los documentos para mi titulación?,tramites,Debes entregarlos en la oficina de titulación o subirlos al portal institucional según se indique en la convocatoria.,¿Dónde entrego los documentos para mi titulación? Debes entregarlos en la oficina de titulación o subirlos al portal institucional según se indique en la convocatoria.,¿Dónde entrego los documentos para mi titulación? tramites
¿Puedo solicitar constancia de estudios en vacaciones?,tramites,"Sí, siempre que la oficina de servicios escolares esté operativa. Verifica los horarios especiales de atención en vacaciones.","¿Puedo solicitar constancia de estudios en vacaciones? Sí, siempre que la oficina de servicios escolares esté operativa. Verifica los horarios especiales de atención en vacaciones.",¿Puedo solicitar constancia de estudios en vacaciones? tramites
¿Cómo tramito una baja definitiva?,tramites,"Solicítala por escrito en servicios escolares, junto con una entrevista con tu tutor académico y el visto bueno de la coordinación.","¿Cómo tramito una baja definitiva? Solicítala por escrito en servicios escolares, junto con una entrevista con tu tutor académico y el visto bueno de la coordinación.",¿Cómo tramito una baja definitiva? tramites
¿Qué hago si pierdo mi certificado original?,tramites,"Debes tramitar un duplicado con una carta de pérdida firmada, identificación oficial y comprobante de pago.","¿Qué hago si pierdo mi certificado original? Debes tramitar un duplicado con una carta de pérdida firmada, identificación oficial y comprobante de pago.",¿Qué hago si pierdo mi certificado original? tramites
¿Cuánto cuesta una constancia académica?,tramites,"Tiene un costo aproximado de $30.000 COP. El valor puede variar, consulta el tarifario institucional actualizado.","¿Cuánto cuesta una constancia académica? Tiene un costo aproximado de $30.000 COP. El valor puede variar, consulta el tarifario institucional actualizado.",¿Cuánto cuesta una constancia académica? tramites
¿Qué pasa si repruebo el examen de titulación?,requisitos,Tendrás una segunda oportunidad en el siguiente periodo. Deberás prepararte con asesoría académica y notificar tu interés por escrito.,¿Qué pasa si repruebo el examen de titulación? Tendrás una segunda oportunidad en el siguiente periodo. Deberás prepararte con asesoría académica y notificar tu interés por escrito.,¿Qué pasa si repruebo el examen de titulación? requisitos
¿Necesito entregar tesis impresa y digital?,requisitos,"Sí, normalmente se requiere una versión impresa para archivo físico y otra digital en formato PDF para el repositorio institucional.","¿Necesito entregar tesis impresa y digital? Sí, normalmente se requiere una versión impresa para archivo físico y otra digital en formato PDF para el repositorio institucional.",¿Necesito entregar tesis impresa y digital? requisitos
¿Cuánto dura el proceso de titulación?,requisitos,"Aproximadamente entre 2 y 4 meses, dependiendo del tipo de modalidad elegida y la validación de documentos.","¿Cuánto dura el proceso de titulación? Aproximadamente entre 2 y 4 meses, dependiendo del tipo de modalidad elegida y la validación de documentos.",¿Cuánto dura el proceso de titulación? requisitos
¿Puedo titularme si tengo una materia en curso?,requisitos,No. Debes haber aprobado todas las materias y estar libre de cualquier asignatura pendiente.,¿Puedo titularme si tengo una materia en curso? No. Debes haber aprobado todas las materias y estar libre de cualquier asignatura pendiente.,¿Puedo titularme si tengo una materia en curso? requisitos
¿Qué certificación necesito para titularme en idiomas?,requisitos,"Debes contar con una certificación B1 o equivalente en inglés, según el Marco Común Europeo.","¿Qué certificación necesito para titularme en idiomas? Debes contar con una certificación B1 o equivalente en inglés, según el Marco Común Europeo.",¿Qué certificación necesito para titularme en idiomas? requisitos
¿Qué pasa si no asisto a la ceremonia de titulación?,requisitos,"Tu título no se ve afectado, pero deberás recogerlo posteriormente en la oficina de egresados con cita previa.","¿Qué pasa si no asisto a la ceremonia de titulación? Tu título no se ve afectado, pero deberás recogerlo posteriormente en la oficina de egresados con cita previa.",¿Qué pasa si no asisto a la ceremonia de titulación? requisitos
